,Title,genres,original_language,poster_path
10,Jayeshbhai Jordaar,"Comedy,Drama",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQpy-6p_9oNTU7U3m-qAh88ZC6GlBJrMlPidvwnU298Q5KRBwW-wvTCyTuM1Nrogi7NDCU_
11,Bhool Bhulaiyaa 2,"Horror,Comedy",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSMJ-c951gb7t1ThjEiUbZC7HZbQ2V9ySIXJcyXtVGyWkyXiH5dnC2qeE6dfVi_FtZNet7U
12,Dhaakad,Action,hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS4cUVIJUA73uVkzgAUan0sCddPetG9-Osrs0_K5Y_3qY6fbOfafCgAmzHLLj4pStQlAq4U9w
13,Anek,"Action,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTlKgxPim_xguDvt-JKkFSsdp1xwYgYS4dePJPxW8ELEM_wb2gruB0t2b11kDRZqN4ZtASpnw
14,Samrat Prithviraj,"Action,Drama,History",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSre8vpkBA25ZkR7ZWqMf7Rwbmjk6M0gJ2B2SPiELUn5g9VF4BnQ4saF96h19ulq0elZSVUSg
15,Janhit Mein Jaari,"Comedy,Drama,Romance",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSZ0skplLOscM6EF6lNQviEyzFk5rAud-4U6Dj7cSepOCI-nKWaI6qHXZiGLzEJFRr1Qvo8
16,Ardh,"Drama,Comedy",hi,https://st1.bollywoodlife.com/wp-content/uploads/2022/06/Ardh-movie-review.jpg?impolicy=Medium_Widthonly&w=412&h=290
17,Nikamma,"Action,Comedy",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQuVjs2ehiGju34ixrbD61SBzM4nWhqbhBm7XfTqjjiaabT5Opp_BPTrv75xlN_zo67LHtt
18,Forensic,"Crime,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR7Y3tanlluh39I6EWsFmOdQtFqnTmfLV9z74ARtk3wk2oDRb8N86IZhrUUAcK23SXSx1X5hw
19,Rashtra Kavach Om,"Action,Thriller",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYwOTf7Pj4lYAgNmV6Q9kVhKv3oLGNgTmKH_Qh0w6GqrwuuET_DNsz09ujbT4B2rDjelp3Q
20,HIT: The First Case,"Crime,Mystery,Thriller",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcScrgm53r36muhk_E3WMYutkVnJAF_DsJ5Qu-dzWoXYXVRnZwdtKO4v9smAZEIoKSAqSNEy
21,Jaadugar,"Comedy,Drama,Romance",hi,https://images.ottplay.com/photo/movie/Jaadugar_2022_movie_photo_1_902.jpeg
22,Judaa Hoke Bhi,"Horror,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTCtsaTrJc1o3M_5hMJeG2Mly4uRUvlBU0vCRfFQ136l0a1JyZv6grY4x2zmU0i_O8wuo3b
23,Shabaash Mithu,"Drama,History",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRRJG0K4pobMfmWBzMR_DsgbMUevIEXRkfWDQdlNvqF2LoMFQSHcvvVcfkDh8Vd4yLc1HHc
24,Shamshera,"Action,Drama,Adventure",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSGSdWz0BvfPsP1jTyo4p0z8lJU9CxQIZoEw3uopDKu3kci1eVOXk5gnveUY7RFr5I4PMrMoQ
25,Ek Villain Returns,"Action,Crime,Thriller",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRVsu9vUKVMjD5dVHcqQpUPMs00x8D47Ug6LWuH63qILjWrRpZQqNxJawXC8Ikr5p2OdOy7
26,Good Luck Jerry,"Comedy,Crime,Drama",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSD_UQ-8pss9o_YfXhXO0eAggR5MzRjmLtBVh4ZdR34yoTIIPO3ZlmG6_LfQ64vf5P2fhkZ
27,Darlings,"Comedy,Crime,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRl1whSa36doqqJPh9GrOTTFQzbULCGBoBVUeLcHxh0Ec0m6fVbHWlB6U_ovr9ic97Tl1Dt
28,Laal Singh Chaddha,"Drama,Romance",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzGUjQolUZRNbF6BiZPp9VXHpBJ50UUbVfxAap8dlQz5udfe71K4MT1H7Gs8vRaQVHBXs4
29,Raksha Bandhan,"Comedy,Drama,Family",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQk3GfMkTlvKCcrqbleJgTGpn8jchHCY8RF-FUMK8YFjBBh2sF2qShjubNca-uCV_chd36lZw
30,Dobaaraa,"Science Fiction,Mystery,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT3Is4Dek_qFgdWlKhWinXpeKpBUwv70GYsu8ReQB656zLDOkP-FUaOKCaSViw9tQYH2HHGwQ
31,Holy Cow,"Comedy,Drama",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRUHUK3AsvYRhWsRetuWK_wvJAtOz7LGOmoMosGtwWAr5JvarYDXXwc61u4s6LbPfOR3a73CA
32,Cuttputlli,"Crime,Mystery,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS5Yh3_RgcP4IOZ1DbIAjhoiuVI1ASjTOFlOh4gOf62gaOtBKdYSaj8CgcxtRTMRnTkJKHyrg
33,Jahaan Chaar Yaar,"Comedy,Drama",hi,https://images.herzindagi.info/image/2022/Aug/swara-main.jpg
38,Dhokha: Round D Corner,"Crime,Thriller",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSblercGd8hyLjQUug1qdZPjzd39zsZ9w4c6mpDtIqWzTCGLFkLeWIzYzJ2Mse-8sj58diF9w
39,Plan A Plan B,"Romance,Comedy",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSqYdP6SEzEwN0dYTOj3Xoc4U5MHy7zCfVgYisHN7UlGjMlnG0jQp38uR-TQHja0T_G_ulqTA
40,Vikram Vedha,"Action,Crime,Thriller",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTANrciNyMQ-3MAsnX5-ow6TxuZaT09A5lkUZh1zJelYqmt5ylOdxVJ-OsVDyswd-AAqPQh7w
44,Code Name: Tiranga,"Action,Thriller",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSrZTuL-c4EyJ9uXeLnxEOYfQt6DxjZi87vLCOLp6MmO9HTqyRE71KAEztVoC3kMrPzFV_MAQ
46,Thank God,Comedy,hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0aN2Eh3rHJYI4HUL-viA_4-MrVzCBshs3kNfnjGJN07ehI95ABGmM9OH6DgTFJ8v4YjShOQ
47,Phone Bhoot,"Horror,Comedy",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIvY3v1DkLjMxy-q8ud2W598DISJqwFhxpIKgTY9jfXN655fFQLf1O5Kvnemq8tfOi6WcUJQ
50,Rocket Gang,"Comedy,Fantasy,Horror,Music",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcROvzjWp0fiUAl8RKb0kLRsSK5dK-kRfp4vdWamBeuDNhzXWWflLNqYtWaD_PMEUThcbdlOcA
51,Uunchai,"Comedy,Drama,Family",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRk2YEugBir5pq43Z9vm0ThzCLN3jioelIRjcRMTg7ZYg36XKycplQJFO6O06pSoo8rzzqs
52,"Monica, O My Darling","Crime,Comedy,Drama,Mystery",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSVQl_msq4p7KJS92tZq6EM7PUSiltQYh27DqcG4qsG8ie71ln1J8XIjOJ4fW7KNZPo5_1Q
53,Thai Massage,"Comedy,Drama",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRWb334S3zj__EghAF2UWkYutJpl3jKRdJWYEizVjZp6pBZM3yBbRuvCjTWya_JfvpaqfBeAQ
54,Dhamaal,"Comedy, Adventure",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQE2wJfOe_LRv1SNf9m6di1McO5RnnB5u9Z7uNDSCRJmquMCv2XVwlUzzInG_xifmJq_vBfiA
55,Bhediya,"Comedy,Fantasy,Horror",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTw6l6la7d-ODhSeEYGDWc101iywb62t3vsdlNAfE2ut3YWrnNWoPo-17hffPqZvDdCGX1p
56,Qala,"Drama,Music",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTyYNJpCNZEvkXMc4K95jXIMFH3va1_sYloTx2L1zvaQyzAOF7mnVPQ_kLQsFsU0wHc7zkNLw
57,An Action Hero,"Action,Crime,Comedy,Thriller",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRiQl_z4ZL_TN5Lx3KaW0FocD7u8m_XJMuZ04qTZ3eRZzNNOZaWz6g1VV0GT5jicr033cfh
58,Freddy,"Romance,Thriller",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_o-EXp9PR85ye-xdruPuCYF6O4zGGg1ALE61BiQ_hByJXXgSgpN9dHLiYp4YSFMfsC2YIRw
59,India Lockdown,"Drama,Adventure",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRugTXmDl2FaHbUx93pjzTi6W1bGsPaTX0TjFpp_jhWipaFp-lj3-SyoNmVSKJ5aUZR_iGPTQ
60,Salaam Venky,Drama,hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQfpnbWSPq1OWTdynm-1nOY28CTFSNPAGrv7vOVEhfBgSG1YGCNWvCjRNla9eaz5b8vqwiKmA
61,Maarrich,"Thriller,Crime",hi,https://m.media-amazon.com/images/M/MV5BNjk5MjM2ZTctZTk3NS00ZWUxLTkxMDUtNTUyYWJjZTVhOWNmXkEyXkFqcGc@._V1_.jpg
62,Blurr,"Horror,Thriller",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr0X2Y01y1k4Api9jMV8OmAJ3HGf4PY0U9vya40HvvvsVV38ge3jo8LO_Uhq_kSY6XwF3O
63,Govinda Naam Mera,"Comedy,Drama,Romance",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScgHq1raJ_BbBE-QeOgd5QwzVKJ3IDun8Wr6bZb220th-NonTraG9suThEuVW3NUvqAY1ThA
64,Cirkus,"Comedy,Drama",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT7bVTykAjoXqSK5ExXQQiXo0R6D-smnTAp5TKTyYYGKro0pk_iEw95tpVVEmAtYZsKcoMo
65,Madam Chief Minister,,hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSPe2EJjjD3B-m3QIvAdXj3bOGYo1jzLq1FthAVRvIemU3fpQteb9hZTHSSQPiRqDxj1M25
66,Machaan,,hi,http://t3.gstatic.com/images?q=tbn:ANd9GcQ_ENJZ1moRqPi9PhHGFE4CwTl0E1U3fmx9muxcYtxw1LP46tLY5dJ5JanHr-PRE3BMwbbpK2oh0uayvgQ6sHITfELQIeOzhg
67,Lahore Confidential,,hi,https://i.ytimg.com/vi/hWJch3j2VHA/maxresdefault.jpg
68,Mumbai Saga,"Thriller,Drama,Crime",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6XsG7tuI6ZHZB5xUt2ShT95yJoeFLcBdPi7Ltn4tjV1AG88IR6JUgawLztiTdS7WnK6-s8A
